driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
3,916,6009.099,107.30533928571428,56,56,1,01:38.3,01:36.3,01:36.1,1,131,2014,240,69,0,96.1,48.946,194.706
3,917,5402.555,76.09232394366197,71,71,1,01:10.3,01:10.3,01:10.0,1,131,2014,240,18,0,70,70.316,210.711
3,926,5515.427,95.09356896551724,58,58,2,01:28.9,01:27.1,01:26.9,0.941176471,131,2015,527.6,1,0,86.9,22.105,209.577
3,927,6078.103,108.53755357142857,56,56,3,01:39.4,01:39.4,01:50.3,0.888888889,131,2015,527.6,2,0,99.4,82.599,195.516
3,928,5982.722,106.83432142857143,56,56,2,01:38.5,01:36.7,01:35.8,0.947368421,131,2015,527.6,17,0,95.8,45.312,191.328
3,929,5711.842,100.20775438596492,57,57,3,01:34.4,01:33.9,01:33.1,0.888888889,131,2015,527.6,3,0,93.1,50.729,200.184
3,930,6072.555,92.0084090909091,66,66,1,01:26.5,01:25.2,01:24.7,1,131,2015,527.6,4,0,84.7,44.322,188.061
3,931,6558.42,84.0823076923077,78,78,2,01:16.5,01:15.5,01:15.4,0.947368421,131,2015,527.6,6,0,75.4,24.789,152.841
3,932,5515.43,78.79185714285714,70,70,2,01:15.9,01:14.7,01:14.7,0.944444444,131,2015,527.6,7,0,74.7,23.321,202.218
3,933,5416.93,76.29478873239437,71,71,2,01:11.0,01:08.6,01:08.7,0.947368421,131,2015,527.6,70,0,68.6,21.768,218.622
3,934,5498.685,105.74394230769231,52,52,2,01:33.5,01:32.7,01:32.4,0.947368421,131,2015,527.6,9,1,92.4,58.786,217.73
3,936,6428.861,93.17189855072463,69,69,2,01:23.0,01:22.8,01:22.6,0.947368421,131,2015,527.6,11,0,82.6,102.771,185.223
3,937,5022.445,116.8010465116279,43,43,2,01:48.9,01:48.0,01:47.7,0.947368421,131,2015,527.6,13,0,107.7,45.762,224.295
3,939,7306.838,119.78422950819672,61,61,6,01:46.2,01:45.7,01:45.4,0.736842105,131,2015,527.6,15,0,105.4,60.449,164.368
3,940,5305.472,100.10324528301886,53,53,1,01:33.0,01:32.6,01:32.6,1,131,2015,527.6,22,0,92.6,46.319,215.191
3,942,6655.553,118.84916071428572,56,56,1,01:56.7,01:56.8,NA,1,131,2015,527.6,69,1,116.7,49.882,197.154
3,943,6155.0380000000005,86.69067605633803,71,71,1,01:20.4,01:20.1,01:19.5,1,131,2015,527.6,32,0,79.5,44.694,192.426
3,944,5469.09,77.02943661971831,71,71,1,01:11.7,01:12.2,01:11.3,1,131,2015,527.6,18,0,71.3,71.406,206.95
3,945,5910.175,107.45772727272727,55,55,1,01:41.1,01:41.0,01:40.2,1,131,2015,527.6,24,0,100.2,43.217,189.779
3,948,6495.5650000000005,113.95728070175439,57,57,2,01:26.9,01:24.8,01:24.2,0.952380952,131,2016,352,1,0,84.2,1110.834,210.815
3,949,5614.696,98.50343859649122,57,57,2,01:31.3,01:30.5,01:29.6,0.952380952,131,2016,352,3,0,89.6,77.921,206.21
3,950,5933.891,105.96233928571428,56,56,1,01:37.7,01:36.2,01:35.4,1,131,2016,352,17,0,95.4,46.39,195.419
3,951,5561.997,104.9433396226415,53,53,1,01:36.1,01:35.3,01:35.4,1,131,2016,352,71,0,95.3,29.709,212.452
3,953,7262.423,93.10798717948718,78,78,2,01:14.9,01:14.0,01:13.8,0.952380952,131,2016,352,6,1,73.8,54.378,152.523
3,954,5527.389,78.9627,70,70,2,01:13.7,01:13.1,01:12.9,0.95,131,2016,352,7,0,72.9,45.194,207.669
3,955,5572.366,109.26207843137254,51,51,1,01:43.7,01:42.5,01:42.8,1,131,2016,352,73,0,102.5,20.058,202.946
3,956,5274.817,74.29319718309858,71,71,2,01:06.5,01:06.4,01:08.5,0.952380952,131,2016,352,70,0,66.4,79.104,227.381
3,957,5702.742,109.66811538461539,52,52,2,01:30.7,01:30.0,01:29.6,0.95,131,2016,352,9,1,89.6,59.11,221.957
3,958,6032.092,86.17274285714285,70,70,1,01:33.3,01:22.8,01:20.0,1,131,2016,352,11,0,80,43.584,188.497
3,959,5460.045,81.49320895522388,67,67,1,01:15.5,01:14.8,01:14.4,1,131,2016,352,10,0,74.4,66.993,208.114
3,960,6291.058,142.9785909090909,44,44,1,01:48.0,01:47.0,01:46.7,1,131,2016,352,13,0,106.7,1018.746,225.64
3,961,4648.089,87.6997924528302,53,53,2,01:22.5,01:21.8,01:21.6,0.95,131,2016,352,14,0,81.6,25.55,240.82
3,962,6948.95,113.91721311475409,61,61,1,01:45.3,01:43.0,01:42.6,1,131,2016,352,15,0,102.6,85.866,165.318
3,963,5848.292,104.43378571428572,56,56,2,01:34.5,01:33.6,01:33.3,0.952380952,131,2016,352,2,0,93.3,71.887,206.948
3,964,5203.333,98.17609433962264,53,53,1,01:31.9,01:30.7,01:30.6,1,131,2016,352,22,0,90.6,45.823,217.651
3,965,5897.138,105.30603571428571,56,56,2,01:36.4,01:36.4,01:35.2,0.952380952,131,2016,352,69,0,95.2,47.675,194.773
